ICAV Name,Reg Date,Reg Number,In Liquidation,ETF Related
Goldstein Property ICAV,2017-12-05,C175731,,
October Investments (Ireland) ICAV,2017-12-14,C175549,,
October Investments Two (Ireland) ICAV,2017-12-14,,,
Abarta Investments ICAV,2017-12-20,C176190,,
Devonian ICAV,2017-12-21,C176193,,
Spire Partners Credit Fund ICAV,2017-12-21,C175985,,
Spire Partners Credit Master Fund ICAV,2017-12-21,C175984,,
Strategic Capital Investment Fund ICAV,2017-12-21,C176031,,
Eblana QIAIF ICAV,2017-12-22,C176010,,
JMS ICAV,2017-12-29,,,
Blackstone Partners OS Master ICAV,2018-01-02,C174406,,
Davy Waterside Investment Fund ICAV (in liquidation),2018-01-08,C176255,Yes,
Sceal ICAV,2018-01-23,C176580,,
NTR Sustainable Infrastructure Funds ICAV,2018-01-23,C176608,,
The Funding Circle ICAV (in liquidation),2018-01-23,C176692,Yes,
Columbus Point Global Equity ICAV (in Liquidation),2018-01-23,C175708,Yes,
CORUM Butler UCITS ICAV,2018-01-29,C176706,,
K HYDRA INVESTMENTS NO. 42 ICAV,2018-02-05,C177238,,
KW PRS ICAV,2018-02-07,C176756,,
IRE Real Estate Investment Partners ICAV,2018-02-15,C176586,,
Portfolio Advisors ICAV,2018-02-19,C176859,,
HANetf ICAV,2018-02-19,C178625,,
ICM International Master Fund ICAV (in liquidation),2018-02-23,C178693,Yes,
Praude Funds ICAV,2018-03-05,C178344,,
Swiss Capital Credit Strategies II ICAV,2018-03-08,C178640,,
FAM Series UCITS ICAV,2018-03-08,C176753,,
Nanjia Capital ICAV,2018-03-08,C178906,,
BlackRock Funds I ICAV,2018-03-08,,,
DMS CL Platform ICAV,2018-03-08,C178749,,
APIS Funds ICAV,2018-03-21,C179951,,
Castellain ICAV,2018-04-03,,,
ILA Capital Credit ICAV,2018-04-05,C180374,,
Ashoka WhiteOak ICAV,2018-04-05,C180440,,
Investment Opportunity ICAV,2018-04-05,C180011,,
LDI Solutions Plus ICAV,2018-04-10,C180449,,
Selwood Credit Opportunities Master ICAV,2018-04-18,C180432,,
Selwood Credit Opportunities Feeder ICAV,2018-04-18,,,
Sciens Water Opportunities ICAV,2018-04-18,C517164,,
Insight Investment Solutions ICAV,2018-04-18,C180454,,
SGAS ICAV,2018-04-27,C180960,,
abrdn II ICAV (in liquidation),2018-04-30,C174549,Yes,
Aspect Investment Programmes ICAV,2018-05-03,C180883,,
KraneShares ICAV,2018-05-15,,,
Cardinal Group ICAV,2018-05-15,C181196,,
New Horizons Special Situations Credit Strategies ICAV (in,2018-05-17,C181630,,
Atlantic Credit Opportunities Fund Master ICAV,2018-05-21,C181137,,
Gaea QIAIF ICAV,2018-05-22,,,
Almas Global Opportunities ICAV,2018-05-29,C176567,,
Mainstream UCITS Umbrella ICAV,2018-05-31,C181728,,
Leadenhall Life SMA III ICAV,2018-06-08,C181675,,
Patcham Investment Funds II ICAV (in liquidation),2018-06-08,C181686,Yes,
IAM Investments AIF ICAV,2018-06-14,C181702,,
SQN Investment Funds ICAV,2018-06-14,C181735,,
Lansdowne Master ICAV,2018-06-15,C181782,,
Ardan UCITS ICAV,2018-06-18,C39761,,
CD&R Fund (Credit) ICAV,2018-06-19,C181997,,
Lafayette UCITS ICAV,2018-06-22,C182267,,
UKLIF ICAV,2018-06-25,,,
ecamos UCITS ICAV (in liquidation),2018-06-27,C182295,Yes,
Invest AD UCITS ICAV,2018-07-04,C182341,,
AlbaCore Partners II ICAV,2018-07-12,C182323,,
AlbaCore Partners II Feeder ICAV,2018-07-12,C182324,,
Domain Capital Group ICAV,2018-07-13,C178647,,
MIRELF VI Eastpoint ICAV,2018-07-23,C182987,,
Blackwall UCITS Platform ICAV (in liquidation),2018-07-23,,Yes,
IPM UCITS Umbrella ICAV (in liquidation),2018-07-24,C182480,Yes,
Larix Opportunities Master ICAV,2018-07-27,C183048,,
Mayfair Alternative Credit Funds ICAV,2018-08-10,C183081,,
Russell Investments Alternative Investment ICAV,2018-08-17,C184068,,
Cairn Capital Investment Opportunities ICAV (in liquidation),2018-09-04,C184236,Yes,
Eire ICAV (in liquidation),2018-09-07,C184805,Yes,
GT Fund ICAV,2018-09-07,C183269,,
Laurion I ICAV,2018-09-18,C178892,,
European Real Estate ICAV,2018-09-18,C184342,,
Lynx UCITS Funds ICAV,2018-10-01,C184319,,
Diversified Strategies QIAIF ICAV,2018-10-02,C185069,,
Ardan QIAIF ICAV,2018-10-02,C183199,,
Quilter Investors ICAV (in liquidation),2018-10-04,,Yes,
FAM Evolution ICAV,2018-10-04,C185488,,
Skellig ICAV,2018-10-05,C185002,,
Marshall Wace Managed Accounts ICAV,2018-10-12,C184987,,
Harrington Cooper UCITS Funds ICAV,2018-10-12,C185026,,
QR Investment Partners ICAV,2018-10-12,C184982,,
CCA Life Settlements Fund II ICAV,2018-10-16,C185150,,
Rockefeller Capital Management UCITS ICAV,2018-10-17,C185683,,
Goldman Sachs ETF ICAV,2018-10-17,C185688,,Yes
Portolan Funds ICAV,2018-10-18,C185711,,
Alprime Funds ICAV (in liquidation),2018-10-18,C185712,Yes,
DRI Healthcare ICAV,2018-10-30,C185475,,
Marlborough ICAV,2018-11-06,C186352,,
EGI Multi-Manager AIF Platform ICAV,2018-11-06,,,
Bain Capital Distressed and Special Situations 2019 ICAV,2018-11-07,C185806,,
Irish Property QIAIF ICAV,2018-11-12,,,
DSP Global Funds ICAV,2018-11-14,C187693,,
Stonehorn Asia ICAV (in liquidation),2018-11-29,C187832,Yes,
PGIM Private Capital Fund (Ireland) ICAV,2018-11-30,C187718,,
Chimera UCITS ICAV,2019-01-21,C188915,,
Starz ICAV (in liquidation),2019-01-24,C188971,Yes,
Brookfield PSG ICAV,2019-01-25,,,
VICOF 111 QIAIF ICAV,2019-01-29,C189278,,
8F Aquaculture ICAV,2019-02-07,C187746,,
BlackRock DLF IX ICAV,2019-02-08,C189522,,
BlackRock DLF IX Feeder ICAV,2019-02-08,C189525,,
Cheyne Select Master Fund ICAV,2019-02-13,,,
